num_properties,perc_properties,county,risk_type
10533,31%,Cabell County,major risk of flooding
2193,23%,Grant County,major risk of flooding
56128,53%,Kanawha County,extreme risk of flooding
5523,26%,Nicholas County,severe risk of flooding
